price_date,ticker,open,high,low,close,volume,adj_open,adj_high,adj_low,adj_close,adj_volume
8/20/2012,JN2,102.9409091,104.1268182,102.4291909,103.3409091,2848572.727,95.74625551,96.84928011,95.27030188,96.11829907,2848572.727
8/21/2012,JN2,103.3445455,104.535,102.7928273,103.6409091,3002309.091,96.12168128,97.22893365,95.60852329,96.39733174,3002309.091
8/22/2012,JN2,103.5618182,104.7140909,102.9146364,103.7709091,3034800,96.32376858,97.3955077,95.72181901,96.5182459,3034800
8/23/2012,JN2,103.7518182,104.8668182,103.0491818,103.9145455,3146800,96.50048927,97.53756069,95.84696094,96.65184336,3146800
8/24/2012,JN2,103.8563636,104.9777273,103.0428182,104.0381818,3208336.364,96.59772793,97.64071822,95.84104206,96.76683864,3208336.364
8/27/2012,JN2,104.0154545,105.2027273,103.2664545,104.2290909,3148809.091,96.7456998,97.84999273,96.04904823,96.94440488,3148809.091
8/28/2012,JN2,104.1890909,105.3772727,103.4164545,104.3581818,3203581.818,96.9458849,98.05155295,96.22715266,97.10336895,3203581.818
8/29/2012,JN2,104.2990909,105.4372727,103.6100909,104.5645455,3123463.636,97.08721455,98.14672156,96.44615473,97.33439023,3123463.636
8/30/2012,JN2,104.4254545,105.5009091,103.6919091,104.7090909,3157209.091,97.24353456,98.24486873,96.56075006,97.5076139,3157209.091
8/31/2012,JN2,104.6209091,105.7418182,103.9381818,104.9118182,3234136.364,97.46436476,98.50840989,96.82880967,97.73532333,3234136.364
9/4/2012,JN2,104.925,106.096,104.292,105.156,3245420,97.80575189,98.89722729,97.21639006,98.02137695,3245420
9/5/2012,JN2,105.046,106.362,104.496,105.618,3436600,97.96184184,99.18944584,97.44963424,98.49587241,3436600
9/6/2012,JN2,105.63,107.105,105.13,106.505,3668510,98.55008351,99.92686616,98.08413694,99.36713065,3668510
9/7/2012,JN2,106.551,108.281,106.12,107.73,3923910,99.45307136,101.0682335,99.05120047,100.5539022,3923910
9/10/2012,JN2,107.801,109.384,107.351,108.702,3993710,100.6629857,102.1414992,100.2428235,101.5046841,3993710
9/11/2012,JN2,108.812,110.575,108.395,109.859,4136880,101.6502658,103.2972296,101.2607117,102.6283549,4136880
9/12/2012,JN2,110.106,111.832,109.644,111.18,4299140,102.859098,104.471497,102.4275057,103.86241,4299140
9/13/2012,JN2,111.369,113.308,110.908,112.694,4598610,104.0389705,105.8503504,103.6083124,105.2767623,4598610
9/14/2012,JN2,113.021,115.048,112.561,114.358,4935010,105.58224,107.4758279,105.152516,106.831242,4935010
9/17/2012,JN2,114.512,116.501,113.981,115.776,4968430,106.9751061,108.8331951,106.4790552,108.1559128,4968430
9/18/2012,JN2,114.9590909,116.8522091,114.4145455,116.1490909,4792509.091,107.3927706,109.1612885,106.8840658,108.5044478,4792509.091
9/19/2012,JN2,116.3063636,118.0449364,115.64,117.2954545,4935154.545,108.6513692,110.2755134,108.0288639,109.5753606,4935154.545
9/20/2012,JN2,117.2827273,118.7558182,116.4990909,117.9945455,4760290.909,109.563471,110.9396067,108.8314116,110.2284391,4760290.909
9/21/2012,JN2,117.9872727,119.174,117.0945455,118.2836364,4911854.545,110.221645,111.3302649,109.3876748,110.4985028,4911854.545
9/24/2012,JN2,118.2181818,119.2358182,117.2172727,118.3081818,4690072.727,110.4373563,111.3880143,109.5023245,110.5214327,4690072.727
9/25/2012,JN2,118.3154545,119.3634545,117.1227273,118.2009091,4719400,110.5282267,111.50725,109.4140018,110.4212204,4719400
